"Tên hàng hóa, dịch vụ",Đơn giá,Matched_SP,Score
25ADHLCOCA12 - KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ COLA,"18.518,52",kẹo ngậm halls,100
25ADHLL12 - KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ CHANH,"18.518,52",kẹo ngậm halls,100
25ADHLM12 - KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ BẠC HÀ,"18.518,51",kẹo ngậm halls,100
25ADHLM12 - KẸO NGẬM HALLS XS KHÔNG ĐƯỜNG VỊ BẠC HÀ,"18.518,52",kẹo ngậm halls,100
ARGININ GOLD 400 ABIPHA,0,ARGININ,100
ARGININ GOLD 400 ABIPHA,100,ARGININ,100
Alaska Omega-3 1000mg (Lọ 100 viên),"186.363,64",Alaska Omega-3 1000mg ( lọ 100 viên ),100
Alaska Omega-3 1000mg (Lọ 100 viên),"177.272,73",Alaska Omega-3 1000mg ( lọ 100 viên ),100
Arginin Gold 400 Abipha,"138.888,889",ARGININ,100
Arginin Gold 400 Abipha,0,ARGININ,100
Arginin Gold 400 Abipha,"138.888,89",ARGININ,100
BEAUTY CARE COLLAGEN,75,Thực phẩm BVSK BEAUTY CARE COLLAGEN hồng,100
BEAUTY CARE COLLAGEN,41,Thực phẩm BVSK BEAUTY CARE COLLAGEN hồng,100
BEAUTY CARE COLLAGEN,70,Thực phẩm BVSK BEAUTY CARE COLLAGEN hồng,100
BVS Diana SENSI CF Mát Dịu SMC8(1)-2507F,"19.731,5",BVS Diana,100
BVS Diana SENSI CF SMC 8(1)-2507F,"19.907,42",BVS Diana,100
BVS Diana SENSI Cool Fresh SMC 8-2502F,"19.907,42",BVS Diana,100
BVS Diana SENSI Cool Fresh SMC 8-2502F,"19.907,39",BVS Diana,100
BVS Diana SENSI SMC 8(1)-2507F,19.213,BVS Diana,100
BVS Diana SENSI SMC 8(1)-2507F,"19.212,96",BVS Diana,100
BVS Diana SENSI SMC 8(1)-2507F,"19.212,94",BVS Diana,100
BVS Diana SENSI Siêu Mỏng Cánh 08 - 2202,19.213,BVS Diana,100
BVS Diana SENSI Siêu Mỏng Cánh 8 -2506F,19.213,BVS Diana,100
BVS Diana SENSI Siêu Mỏng Cánh 8 -2506F,"19.212,94",BVS Diana,100
BVS Diana ST Cool Fresh SM Cánh 08-2008,"19.175,94",BVS Diana,100
BVS Diana ST Cool Fresh SM Cánh 08-2008,"19.175,92",BVS Diana,100
BVS Diana ST Than hoạt tính SMC 8-2503F,"18.796,33",BVS Diana,100
BVS Diana Sensi Super Ni 35 3 -2405,"17.090,83",BVS Diana,100
BVS Diana Sensi Super Ni 35 3 -2405,"17.090,72",BVS Diana,100
BVS Diana Sensi Super Ni 35 3 -2405,"17.090,75",BVS Diana,100
BVS Diana Sensi Than hoạt tính SMC8-2212,"18.796,33",BVS Diana,100
BVS Diana băng quần size L-XL 2-2408,"34.245,4",BVS Diana,100
BVS Diana băng quần size L-XL 2-2408,"34.245,33",BVS Diana,100
BVS Diana băng quần size L-XL 2-2408,"34.245,25",BVS Diana,100
BVS Diana băng quần size M-L 2-2409,"31.481,5",BVS Diana,100
Bia Carlsberg Pilsner lon 330ml,"404.545,45",Bia carlsberg 330ml,100
Bia Carlsberg Pilsner lon 330ml,"377.272,73",Bia carlsberg 330ml,100
Bia Tiger 24 chai x 330ML,"378.181,82",Bia Tiger Chai 330ml,100
Bàn chải đánh răng trẻ em,4.732,QUEEN BEE BÀN CHẢI ĐÁNH RĂNG TRẺ EM 4 MÀU NANO SILVER 10 TUỔI,100
Bàn chải đánh răng trẻ em,5.2,QUEEN BEE BÀN CHẢI ĐÁNH RĂNG TRẺ EM 4 MÀU NANO SILVER 10 TUỔI,100
Bánh Gạo An Vừng 12P_9Y22,0,BÁNH GẠO AN VỪNG,100
